word,type,definition,sentence
source,noun,"any place, person, or thing from which something else comes or originates","We can’t seem to locate the source of the problem."
status,noun,someone’s position in relation to other people; the state or condition,"His status as the top player in the game is unquestionable."
structure,noun,the organization or arrangement of something,"The structure of the education system needs to change."
substitute,"noun, verb",a replacement for someone/something,"If you want to succeed, there is no substitute for hard work."
symbolise,verb,to represent or be a symbol for something,"In most cultures, it is understood that the dove symbolises peace."
task,noun,a job or duty to be performed,"Raising a family is not an easy task."
technique,noun,a specific way of doing something; a certain skill,"Most people don’t know that cooking requires hundreds of difficult techniques."
topical,adjective,pertaining to current or local events or interests,"Global warming has been extremely topical in the first half of the 21st century."
transform,verb,to change into a different form,"The internet has transformed the way we communicate."
trend,noun,a style that is currently popular; the general course of something,"Fashion trends are always changing."
vary,verb,to be different; to alternate; to change or alter; to diversify,"To write a good essay, you need to vary your vocabulary."
veritable,adjective,being truly or very much so,"I felt a veritable pain in my abdomen"
visible,adjective,able to be seen (opposite = invisible),"There has been a visible shift in public opinion towards the government."
wane,verb,"to decrease in strength, intensity, etc.","My interest in the movie waned the longer we watched it."
